id_calle,orden_carga,nombre_calle,observacion_calle
1,,Ruta Provincial Nº 39,Ruta provincial
2,,Ruta Nacional Nº 3,
3,,Ruta Provincial Nº 26,
4,1,"Abasolo , Maximo",Centro
5,2,"Güemes , Juan Martin De",Centro
6,3,"Moreno , Mariano",Centro
7,4,9 de Julio,Centro
8,5,"Pellegrini , Carlos",Centro
9,6,25 de Mayo,Centro - Centro Civico General Solari
10,7,"Mitre , Bartolome",Centro - Centro Civico General Solari
11,8,"Belgrano , Manuel",Centro - Centro Civico General Solari
12,9,España,Centro
13,10,Altuna,Centro
14,11,Italia,Centro
15,12,Nieburg,Centro
16,13,Francia,Centro
17,14,Chacabuco,Centro
18,15,Cruce de Los Andes,Centro
19,16,Henning,Centro
20,17,"Urquiza , Justo Jose De",Centro
21,18,Roqueta,Centro
22,19,"Alsina , Valentin",Centro - Pietrobelli - Balcon del Paraiso
23,20,"Cabral , Sargento",Centro
24,21,"Saavedra , Cornelio De",Centro - Pietrobelli
25,22,"Elcano , Juan Sebastian",Centro
26,23,Cardenal Cagliero,Centro
27,24,"Alvear , Carlos M. De",Centro - Pietrobelli
28,25,Hernandarias,Centro
29,26,"Namuncura , Ceferino",Centro
30,27,"Alem , Leandro",Centro - Pietrobelli
31,28,"Ramos Mejia , Exequiel",Centro
32,29,Viamonte,Centro - Pietrobelli
33,30,San Carlos,Centro
34,31,"Justo , Juan B.",Centro - 9 de Julio - Humberto Beghin
35,32,13 de Diciembre,Centro - 13 de Diciembre - Jorge Newbery
36,33,"Yrigoyen , Hipolito","Zonas 1 , 16 , 17 , 18 , 20 Y 33"
37,34,"Lista , Ramon",Centro
38,35,"Marchiori , Luis",Centro
39,36,Fontana,Centro
40,37,"Escalada , Federico Doctor",Centro
41,38,"Gaboto , Sebastian",Centro
42,39,Necochea,Centro
43,40,"Del Valle , Aristobulo",Centro
44,41,"Bouchard , Hipolito",Centro
45,42,"Velez Sarsfield , Dalmacio",Centro
46,43,Maipu,Centro
47,44,Rocambole Haedo,Centro
48,45,"Dorrego , Manuel",Centro
49,46,"Brown , Almirante",Centro
50,47,Belchior,Centro
51,48,Rawson,Centro
52,49,Inmigrantes Gallegos,Centro
53,50,"Riera , Rufino",Centro
54,51,"Ameghino , Florentino",Centro - Jorge Newbery - 9 de Julio
55,52,Gil Alvarez,Centro
56,54,Patagonia,Centro
57,55,Fournier,Centro
58,56,"Rivadavia , Bernardino","Zonas 1 A 6 , 10 , 29 Y 31"
59,57,Venter,Centro
60,58,Gorchs,Centro
61,59,"San Martin , Jose De","Zonas 1 , 3 A 6 Y 31"
62,60,San Luis,Centro
63,61,Valdivia,Centro
64,62,Cooperativa,Centro
65,63,"Sarmiento , Domingo Faustino","Zonas 1 , 3 A 6 Y 31"
66,64,Castro,Centro
67,65,Travaglini,Centro
68,66,Ibarguren,Centro
69,67,"Huergo , Luis Argentino",Zonas 1 A 6 Y 31
70,68,Rincon,Centro
71,69,12 de Octubre,"Zonas 2, 3, 4, 5, 6 Y 31"
72,70,Chaco,Pietrobelli - Jorge Newbery
73,71,Misiones,Pietrobelli - Balcon del Paraiso - Jorge Newbery
74,72,Formosa,Pietrobelli - Balcon del Paraiso - Jorge Newbery
75,73,"Schneider , Pastor E.",Jorge Newbery
76,74,"Gimenez , Cristobal Oscar",Pietrobelli
77,75,Fragata Sarmiento,Jorge Newbery
78,76,Florida,Jorge Newbery
79,77,San Antonio,Jorge Newbery
80,78,Rio Chubut,Jorge Newbery
81,79,Paso de Los Patos,Jorge Newbery
82,80,La Pinta,Jorge Newbery - Las Flores - La Floresta - San Martin
83,81,Islas Malvinas Norte,Jorge Newbery - Las Flores
84,82,Islas Malvinas Sur,Jose Fuchs -13 de Diciembre - Ceferino Namuncura
85,83,Los Aromos,Las Flores
86,84,Los Pinos,Las Flores
87,85,Los Ajenjos,Las Flores
88,86,Triunvirato,Las Flores
89,87,"Almonacid , Mario Soldado",Ceferino Namuncura
90,88,Carabelas,Las Flores - La Floresta
91,89,Blas Parera,Jorge Newbery - Las Flores
92,90,Mburucuya,La Floresta
93,91,Los Robles,La Floresta
94,92,Los Nogales,La Floresta
95,93,Los Alamos,La Floresta
96,94,Las Orquideas,La Floresta - San Martin
97,95,Granaderos,Las Flores - La Floresta - San Martin
98,96,Las Margaritas,San Martin
99,97,Las Rosas,San Martin
100,98,Los Claveles,San Martin - La Floresta
101,99,Los Pensamientos,San Martin
102,100,Los Jazmines,San Martin
103,101,Las Violetas,San Martin
104,102,Los Naranjos,San Martin
105,103,Los Perales,Quirno Costa - San Martin
106,104,Los Manzanos,San Martin
107,105,Batalla de San Carlos,San Martin
108,106,Los Duraznos,San Martin - Maximo Abasolo
109,107,Los Crisantemos,San Martin
110,108,Las Fresas,San Martin - Maximo Abasolo
111,109,Los Alelies,San Martin
112,110,Los Platanos,San Martin - Maximo Abasolo
113,111,Alborada,San Martin
114,112,19 de Enero,San Martin
115,113,Batalla de Ganso Verde,San Martin
116,114,Santiago del Estero,9 de Julio
117,115,Salta,9 de Julio - 13 de Diciembre - Jose Fuchs
118,116,Santa Cruz,9 de Julio - 13 de Diciembre
